[14, -1, -5, -2, -3, -6, -16, -7]
[3, 13, 4, 0, 4, 1, -9, 1]
[-4, -5, -6, -3, -3, -4, 5, -5]
[0, 8, 10, 3, 2, 9, 11, 5]
[-7, 13, 2, 0, -4, -3, -27, 6]
[1, -24, -2, -1, -3, -3, 0, -2]
[3, 0, 1, -1, 0, 2, 4, -1]
[1, 1, -9, 0, 1, 2, 13, 1]
[-9, 2, 5, 0, -1, -4, -9, -1]
[9, 1, -6, -1, -3, -5, -16, 1]
[-3, 5, 9, 2, 3, -1, -4, -4]
[10, 3, -3, 2, 3, 12, 56, 16]
[-3, -8, -6, -3, -4, -8, -22, -8]
[0, 2, 6, 1, -1, 2, 8, 0]
[11, -2, -5, -1, -2, -3, -1, 3]
